date,distance_km,duration_min,avg_hr
2026-08-24,5.85,31,157
2026-08-25, 5.00 ,31,147
2026-08-26,5.43,29,158
2026-08-27,,,
2026-08-28,5.13,29,143
2026-08-29,5.03,28,156
2026-08-31,5.24,30,144
2026-09-01,5.18,30,143
2026-09-02,,,
2026-09-03,6.93,39,157
2026-09-04,5.21,29,150
2026-09-07,4.18,24,148
2026-09-08,6.37,37,144
2026-09-09,5.35,31,144
2026-09-10,5.31,27,156
2026-09-11,6.43,43,142
2026-09-12,10.09,57,150
2026-09-13,6.34,36,148
2026-09-14,,,
2026-09-15,5.76,29,154
2026-09-16,6.11,34,148
