Date,Total Calories,Carbs (g),Protein (g),Fat (g),Weight (KG)
2026-08-24,2900,263,297,75,90.2
2026-08-25,2400,204,223,74,90
2026-08-26,2400,183,215,77,90
2026-08-27,2400,186,243,77,89.6
2026-08-28,2600,223,258,73,89
2026-08-29,2600,201,238,90,90.2
2026-09-01,2500,234,221,80,90
2026-09-02,2600,247,244,79,90.2
2026-09-03,2800,255,278,71,90
2026-09-04,2400,246,220,60,89.4
2026-09-08,2200,219,160,86,91.8
2026-09-09,2076,184,189,75,92
2026-09-10,2500,256,227,61,91.2
2026-09-12,2800,330,224,81,90.8
2026-09-13,2500,245,202,80,90.2
2026-09-14,2800,263,220,103,90
2026-09-15,2500,292,209,50,90
2026-09-16,2500,216,194,88,89.8
